"data type","highlight","interaction","name","networks","normalized max weight","raw weights","selected","shared interaction","shared name"
"Physical Interactions","1",,"H__sapiens__2_-774613|H__sapiens__2_-810558|Physical Interactions","Moutaoufik-Babu-2019","0.0023748369259274896","0.032908014953136444","false",,"H__sapiens__2_-774613|H__sapiens__2_-810558|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-774613|H__sapiens__2_-795919|Physical Interactions","Moutaoufik-Babu-2019","0.001479195315382576","0.020497146993875504","false",,"H__sapiens__2_-774613|H__sapiens__2_-795919|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-774613|H__sapiens__2_-776881|Physical Interactions","Moutaoufik-Babu-2019","0.004312332255350851","0.059755805879831314","false",,"H__sapiens__2_-774613|H__sapiens__2_-776881|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-780964|H__sapiens__2_-779623|Physical Interactions","Oláh-Ovádi-2011","3.936329307754695E-4","0.02322443388402462","false",,"H__sapiens__2_-780964|H__sapiens__2_-779623|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-780964|H__sapiens__2_-774823|Physical Interactions","Oláh-Ovádi-2011","3.936329307754695E-4","0.02322443388402462","false",,"H__sapiens__2_-780964|H__sapiens__2_-774823|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-780964|H__sapiens__2_-778086|Physical Interactions","Oláh-Ovádi-2011","3.936329307754695E-4","0.02322443388402462","false",,"H__sapiens__2_-780964|H__sapiens__2_-778086|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-780964|H__sapiens__2_-774217|Physical Interactions","Oláh-Ovádi-2011|Virok-Fülöp-2011","0.0020313783857882906","0.02322443388402462|0.05783149227499962","false",,"H__sapiens__2_-780964|H__sapiens__2_-774217|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-780964|H__sapiens__2_-774485|Physical Interactions","Oláh-Ovádi-2011|Virok-Fülöp-2011","0.0020313783857882906","0.02322443388402462|0.05783149227499962","false",,"H__sapiens__2_-780964|H__sapiens__2_-774485|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-780964|H__sapiens__2_-775125|Physical Interactions","Oláh-Ovádi-2011","3.936329307754695E-4","0.02322443388402462","false",,"H__sapiens__2_-780964|H__sapiens__2_-775125|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-780964|H__sapiens__2_-776881|Physical Interactions","Oláh-Ovádi-2011","3.936329307754695E-4","0.02322443388402462","false",,"H__sapiens__2_-780964|H__sapiens__2_-776881|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-780030|H__sapiens__2_-780964|Physical Interactions","Oláh-Ovádi-2011","3.936329307754695E-4","0.02322443388402462","false",,"H__sapiens__2_-780030|H__sapiens__2_-780964|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-786309|H__sapiens__2_-780964|Physical Interactions","Oláh-Ovádi-2011","3.936329307754695E-4","0.02322443388402462","false",,"H__sapiens__2_-786309|H__sapiens__2_-780964|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-780964|H__sapiens__2_-782605|Physical Interactions","Soler-López-Aloy-2011","0.012248168750271972","0.16943807899951935","false",,"H__sapiens__2_-780964|H__sapiens__2_-782605|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-774247|H__sapiens__2_-778132|Physical Interactions","Soler-López-Aloy-2011","0.009690569520672937","0.13405689597129822","false",,"H__sapiens__2_-774247|H__sapiens__2_-778132|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-774247|H__sapiens__2_-774343|Physical Interactions","Soler-López-Aloy-2011","0.016081504689947013","0.22246748208999634","false",,"H__sapiens__2_-774247|H__sapiens__2_-774343|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-778972|H__sapiens__2_-781232|Physical Interactions","Soler-López-Aloy-2011","0.0175728016006084","0.2430977076292038","false",,"H__sapiens__2_-778972|H__sapiens__2_-781232|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-778972|H__sapiens__2_-774247|Physical Interactions","Soler-López-Aloy-2011","6.811615734826667E-4","0.009423017501831055","false",,"H__sapiens__2_-778972|H__sapiens__2_-774247|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-782385|H__sapiens__2_-776881|Physical Interactions","Wan-Emili-2015","1.3463299980457222E-5","0.016911543905735016","false",,"H__sapiens__2_-782385|H__sapiens__2_-776881|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-774722|H__sapiens__2_-773657|Physical Interactions","Wan-Emili-2015","2.4434336115658476E-5","0.03069250099360943","false",,"H__sapiens__2_-774722|H__sapiens__2_-773657|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-783136|H__sapiens__2_-810558|Physical Interactions","Wan-Emili-2015","1.4815487844915216E-5","0.01861005648970604","false",,"H__sapiens__2_-783136|H__sapiens__2_-810558|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-774532|H__sapiens__2_-775125|Physical Interactions","Wan-Emili-2015","2.6817731786487514E-5","0.03368633612990379","false",,"H__sapiens__2_-774532|H__sapiens__2_-775125|Physical Interactions"
"Physical Interactions","1",,"H__sapiens__2_-783570|H__sapiens__2_-785433|Physical Interactions","Wan-Emili-2015","1.6761293005964343E-4","0.2105422466993332","false",,"H__sapiens__2_-783570|H__sapiens__2_-785433|Physical Interactions"
